Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region;Product ID;Category;Sub-Category;Product Name;Sales
11;CA-2018-158673;29/12/2018;4/1/2019;Standard Class;KB-16600;Ken Brennan;Corporate;United States;Grand Rapids;Michigan;49505;Central;OFF-PA-10000994;Office Supplies;Paper;Xerox 1915;209.7
12;CA-2018-146626;29/12/2018;5/1/2019;Standard Class;BP-11185;Ben Peterman;Corporate;United States;Anaheim;California;92804;West;FUR-FU-10002501;Furniture;Furnishings;Nu-Dell Executive Frame;101.12
13;CA-2018-130631;29/12/2018;2/1/2019;Standard Class;BS-11755;Bruce Stewart;Consumer;United States;Edmonds;Washington;98026;West;OFF-FA-10000089;Office Supplies;Fasteners;Acco Glide Clips;19.6
14;CA-2018-130631;29/12/2018;2/1/2019;Standard Class;BS-11755;Bruce Stewart;Consumer;United States;Edmonds;Washington;98026;West;FUR-FU-10004093;Furniture;Furnishings;Hand-Finished Solid Wood Document Frame;68.46
15;US-2018-158526;29/12/2018;1/1/2019;Second Class;KH-16360;Katherine Hughes;Consumer;United States;Louisville;Kentucky;40214;South;FUR-CH-10002602;Furniture;Chairs;DMI Arturo Collection Mission-style Design Wood Chair;1207.84
16;US-2018-158526;29/12/2018;1/1/2019;Second Class;KH-16360;Katherine Hughes;Consumer;United States;Louisville;Kentucky;40214;South;OFF-BI-10002414;Office Supplies;Binders;GBC ProClick Spines for 32-Hole Punch;12.53
17;US-2018-158526;29/12/2018;1/1/2019;Second Class;KH-16360;Katherine Hughes;Consumer;United States;Louisville;Kentucky;40214;South;OFF-AR-10003696;Office Supplies;Art;Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop;34.58
18;US-2018-158526;29/12/2018;1/1/2019;Second Class;KH-16360;Katherine Hughes;Consumer;United States;Louisville;Kentucky;40214;South;FUR-CH-10004495;Furniture;Chairs;Global Leather and Oak Executive Chair, Black;300.98
19;US-2018-158526;29/12/2018;1/1/2019;Second Class;KH-16360;Katherine Hughes;Consumer;United States;Louisville;Kentucky;40214;South;FUR-CH-10001270;Furniture;Chairs;Harbour Creations Steel Folding Chair;258.75
20;CA-2018-163979;28/12/2018;2/1/2019;Second Class;KH-16690;Kristen Hastings;Corporate;United States;San Francisco;California;94110;West;OFF-ST-10003208;Office Supplies;Storage;Adjustable Depth Letter/Legal Cart;725.84
21;CA-2018-164826;28/12/2018;4/1/2019;Standard Class;JF-15415;Jennifer Ferguson;Consumer;United States;New York City;New York;10024;East;OFF-LA-10001297;Office Supplies;Labels;Avery 473;72.45
22;CA-2018-164826;28/12/2018;4/1/2019;Standard Class;JF-15415;Jennifer Ferguson;Consumer;United States;New York City;New York;10024;East;OFF-FA-10000585;Office Supplies;Fasteners;OIC Bulk Pack Metal Binder Clips;13.96
23;CA-2018-164826;28/12/2018;4/1/2019;Standard Class;JF-15415;Jennifer Ferguson;Consumer;United States;New York City;New York;10024;East;OFF-BI-10001922;Office Supplies;Binders;Storex Dura Pro Binders;33.264
24;CA-2018-164826;28/12/2018;4/1/2019;Standard Class;JF-15415;Jennifer Ferguson;Consumer;United States;New York City;New York;10024;East;TEC-PH-10000347;Technology;Phones;Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple;14.85
25;CA-2018-136539;28/12/2018;1/1/2019;Standard Class;GH-14665;Greg Hansen;Consumer;United States;Round Rock;Texas;78664;Central;OFF-AR-10001958;Office Supplies;Art;Stanley Bostitch Contemporary Electric Pencil Sharpeners;27.168
26;CA-2018-136539;28/12/2018;1/1/2019;Standard Class;GH-14665;Greg Hansen;Consumer;United States;Round Rock;Texas;78664;Central;FUR-BO-10004709;Furniture;Bookcases;Bush Westfield Collection Bookcases, Medium Cherry Finish;78.8528
27;CA-2018-129805;28/12/2018;2/1/2019;Standard Class;HM-14860;Harry Marie;Corporate;United States;Seattle;Washington;98103;West;FUR-FU-10001935;Furniture;Furnishings;3M Hangers With Command Adhesive;7.4
28;CA-2018-127516;28/12/2018;3/1/2019;Standard Class;EH-14005;Erica Hernandez;Home Office;United States;Nashville;Tennessee;37211;South;OFF-ST-10000736;Office Supplies;Storage;Carina Double Wide Media Storage Towers in Natural & Black;64.784
29;US-2018-162068;28/12/2018;31/12/2018;Second Class;PC-18745;Pamela Coakley;Corporate;United States;Loveland;Colorado;80538;West;OFF-BI-10002813;Office Supplies;Binders;Avery Reinforcements for Hole-Punch Pages;1.188
30;CA-2018-101322;28/12/2018;31/12/2018;First Class;JG-15310;Jason Gross;Corporate;United States;Long Beach;California;90805;West;FUR-CH-10003968;Furniture;Chairs;Novimex Turbo Task Chair;340.704
31;CA-2018-163860;28/12/2018;1/1/2019;Standard Class;LO-17170;Lori Olson;Corporate;United States;Peoria;Illinois;61604;Central;OFF-BI-10003784;Office Supplies;Binders;Computer Printout Index Tabs;1.68
32;CA-2018-163860;28/12/2018;1/1/2019;Standard Class;LO-17170;Lori Olson;Corporate;United States;Peoria;Illinois;61604;Central;FUR-FU-10004586;Furniture;Furnishings;G.E. Longer-Life Indoor Recessed Floodlight Bulbs;7.968
33;CA-2018-163860;28/12/2018;1/1/2019;Standard Class;LO-17170;Lori Olson;Corporate;United States;Peoria;Illinois;61604;Central;FUR-CH-10004698;Furniture;Chairs;Padded Folding Chairs, Black, 4/Carton;113.372
34;CA-2018-163860;28/12/2018;1/1/2019;Standard Class;LO-17170;Lori Olson;Corporate;United States;Peoria;Illinois;61604;Central;FUR-FU-10001935;Furniture;Furnishings;3M Hangers With Command Adhesive;2.96
35;CA-2018-135111;28/12/2018;2/1/2019;Standard Class;CS-12400;Christopher Schild;Home Office;United States;Fargo;North Dakota;58103;Central;OFF-AR-10004707;Office Supplies;Art;Staples in misc. colors;2.48
36;CA-2018-135111;28/12/2018;2/1/2019;Standard Class;CS-12400;Christopher Schild;Home Office;United States;Fargo;North Dakota;58103;Central;OFF-BI-10004040;Office Supplies;Binders;Wilson Jones Impact Binders;25.9
37;CA-2018-122798;28/12/2018;1/1/2019;Standard Class;SV-20935;Susan Vittorini;Consumer;United States;Albuquerque;New Mexico;87105;West;OFF-ST-10003058;Office Supplies;Storage;Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays;118.25
38;CA-2018-122798;28/12/2018;1/1/2019;Standard Class;SV-20935;Susan Vittorini;Consumer;United States;Albuquerque;New Mexico;87105;West;OFF-PA-10004239;Office Supplies;Paper;Xerox 1953;4.28
39;CA-2018-134404;27/12/2018;27/12/2018;Same Day;DR-12880;Dan Reichenbach;Corporate;United States;Newark;Ohio;43055;East;TEC-PH-10000576;Technology;Phones;AT&T 1080 Corded phone;164.388
40;CA-2018-134404;27/12/2018;27/12/2018;Same Day;DR-12880;Dan Reichenbach;Corporate;United States;Newark;Ohio;43055;East;OFF-AR-10004441;Office Supplies;Art;BIC Brite Liner Highlighters;13.248
41;US-2018-106705;26/12/2018;1/1/2019;Standard Class;PO-18850;Patrick O'Brill;Consumer;United States;Burlington;Iowa;52601;Central;OFF-PA-10001509;Office Supplies;Paper;"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""";44.75
42;CA-2018-112487;26/12/2018;30/12/2018;Standard Class;TC-21535;Tracy Collins;Home Office;United States;Columbus;Ohio;43229;East;OFF-BI-10000494;Office Supplies;Binders;Acco Economy Flexible Poly Round Ring Binder;3.132
43;CA-2018-121741;26/12/2018;26/12/2018;Same Day;YC-21895;Yoseph Carroll;Corporate;United States;Fremont;Nebraska;68025;Central;OFF-ST-10004459;Office Supplies;Storage;Tennsco Single-Tier Lockers;750.68
44;CA-2018-136238;26/12/2018;1/1/2019;Standard Class;KB-16240;Karen Bern;Corporate;United States;Odessa;Texas;79762;Central;OFF-PA-10004285;Office Supplies;Paper;Xerox 1959;16.032
45;CA-2018-146780;25/12/2018;30/12/2018;Standard Class;CV-12805;Cynthia Voltz;Corporate;United States;New York City;New York;10035;East;FUR-FU-10001934;Furniture;Furnishings;Magnifier Swing Arm Lamp;41.96
46;CA-2018-161480;25/12/2018;29/12/2018;Standard Class;RA-19285;Ralph Arnett;Consumer;United States;New York City;New York;10035;East;FUR-BO-10004015;Furniture;Bookcases;Bush Andora Bookcase, Maple/Graphite Gray Finish;191.984
47;CA-2018-163510;25/12/2018;28/12/2018;Second Class;JW-15955;Joni Wasserman;Consumer;United States;Louisville;Kentucky;40214;South;OFF-ST-10000563;Office Supplies;Storage;Fellowes Bankers Box Stor/Drawer Steel Plus;95.94
48;CA-2018-163510;25/12/2018;28/12/2018;Second Class;JW-15955;Joni Wasserman;Consumer;United States;Louisville;Kentucky;40214;South;FUR-CH-10001146;Furniture;Chairs;Global Value Mid-Back Manager's Chair, Gray;304.45
49;US-2018-147669;25/12/2018;30/12/2018;Standard Class;SV-20935;Susan Vittorini;Consumer;United States;Fairfield;Ohio;45014;East;TEC-AC-10002473;Technology;Accessories;Maxell 4.7GB DVD-R;158.928
50;US-2018-147669;25/12/2018;30/12/2018;Standard Class;SV-20935;Susan Vittorini;Consumer;United States;Fairfield;Ohio;45014;East;OFF-BI-10000632;Office Supplies;Binders;Satellite Sectional Post Binders;13.023
51;US-2018-147669;25/12/2018;30/12/2018;Standard Class;SV-20935;Susan Vittorini;Consumer;United States;Fairfield;Ohio;45014;East;FUR-TA-10002645;Furniture;Tables;Hon Rectangular Conference Tables;273.06
52;US-2018-147669;25/12/2018;30/12/2018;Standard Class;SV-20935;Susan Vittorini;Consumer;United States;Fairfield;Ohio;45014;East;OFF-FA-10002975;Office Supplies;Fasteners;Staples;39.312
53;CA-2018-114055;25/12/2018;29/12/2018;Second Class;MH-18115;Mick Hernandez;Home Office;United States;Huntsville;Alabama;35810;South;OFF-PA-10004381;Office Supplies;Paper;14-7/8 x 11 Blue Bar Computer Printout Paper;96.08
54;CA-2018-114055;25/12/2018;29/12/2018;Second Class;MH-18115;Mick Hernandez;Home Office;United States;Huntsville;Alabama;35810;South;OFF-FA-10003059;Office Supplies;Fasteners;Assorted Color Push Pins;3.62
55;CA-2018-114055;25/12/2018;29/12/2018;Second Class;MH-18115;Mick Hernandez;Home Office;United States;Huntsville;Alabama;35810;South;OFF-PA-10000994;Office Supplies;Paper;Xerox 1915;629.1
56;CA-2018-114055;25/12/2018;29/12/2018;Second Class;MH-18115;Mick Hernandez;Home Office;United States;Huntsville;Alabama;35810;South;TEC-PH-10002890;Technology;Phones;AT&T 17929 Lendline Telephone;90.48
57;CA-2018-121398;25/12/2018;29/12/2018;Standard Class;FH-14365;Fred Hopkins;Corporate;United States;Los Angeles;California;90008;West;OFF-BI-10001718;Office Supplies;Binders;GBC DocuBind P50 Personal Binding Machine;153.552
58;CA-2018-121398;25/12/2018;29/12/2018;Standard Class;FH-14365;Fred Hopkins;Corporate;United States;Los Angeles;California;90008;West;OFF-ST-10002756;Office Supplies;Storage;"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand";270.62
59;CA-2018-162880;25/12/2018;29/12/2018;Standard Class;GD-14590;Giulietta Dortch;Corporate;United States;Everett;Washington;98208;West;OFF-BI-10003314;Office Supplies;Binders;Tuff Stuff Recycled Round Ring Binders;3.856
60;CA-2018-134194;25/12/2018;1/1/2019;Standard Class;GA-14725;Guy Armstrong;Consumer;United States;Dallas;Texas;75081;Central;OFF-BI-10003684;Office Supplies;Binders;Wilson Jones Legal Size Ring Binders;39.582
61;CA-2018-134194;25/12/2018;1/1/2019;Standard Class;GA-14725;Guy Armstrong;Consumer;United States;Dallas;Texas;75081;Central;OFF-SU-10000946;Office Supplies;Supplies;Staple remover;44.688
62;CA-2018-134194;25/12/2018;1/1/2019;Standard Class;GA-14725;Guy Armstrong;Consumer;United States;Dallas;Texas;75081;Central;OFF-AR-10001615;Office Supplies;Art;Newell 34;31.744
63;CA-2018-134194;25/12/2018;1/1/2019;Standard Class;GA-14725;Guy Armstrong;Consumer;United States;Dallas;Texas;75081;Central;OFF-BI-10001597;Office Supplies;Binders;"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue";40.98
64;CA-2018-134194;25/12/2018;1/1/2019;Standard Class;GA-14725;Guy Armstrong;Consumer;United States;Dallas;Texas;75081;Central;OFF-BI-10001116;Office Supplies;Binders;"Wilson Jones 1"" Hanging DublLock Ring Binders";3.168
65;CA-2018-105620;25/12/2018;28/12/2018;First Class;JH-15430;Jennifer Halladay;Consumer;United States;Hialeah;Florida;33012;South;FUR-FU-10004963;Furniture;Furnishings;Eldon 400 Class Desk Accessories, Black Carbon;21
66;CA-2018-105620;25/12/2018;28/12/2018;First Class;JH-15430;Jennifer Halladay;Consumer;United States;Hialeah;Florida;33012;South;TEC-MA-10004626;Technology;Machines;Lexmark 20R1285 X6650 Wireless All-in-One Printer;120
67;CA-2018-108756;25/12/2018;29/12/2018;Standard Class;PO-18865;Patrick O'Donnell;Consumer;United States;East Orange;New Jersey;7017;East;TEC-AC-10003237;Technology;Accessories;Memorex Micro Travel Drive 4 GB;31.8
68;CA-2018-117933;24/12/2018;29/12/2018;Standard Class;RF-19840;Roy Französisch;Consumer;United States;New York City;New York;10024;East;OFF-AP-10004249;Office Supplies;Appliances;Staple holder;35.91
69;CA-2018-154935;24/12/2018;29/12/2018;Standard Class;AR-10540;Andy Reiter;Consumer;United States;New York City;New York;10024;East;OFF-BI-10003708;Office Supplies;Binders;"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""";17.88
70;CA-2018-147956;24/12/2018;31/12/2018;Standard Class;AH-10210;Alan Hwang;Consumer;United States;Seattle;Washington;98105;West;OFF-ST-10001097;Office Supplies;Storage;Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers;1003.62
71;CA-2018-169978;24/12/2018;28/12/2018;Standard Class;HG-15025;Hunter Glantz;Consumer;United States;Oceanside;New York;11572;East;FUR-CH-10002602;Furniture;Chairs;DMI Arturo Collection Mission-style Design Wood Chair;271.764
72;CA-2018-169978;24/12/2018;28/12/2018;Standard Class;HG-15025;Hunter Glantz;Consumer;United States;Oceanside;New York;11572;East;OFF-BI-10001900;Office Supplies;Binders;DXL Angle-View Binders with Locking Rings, Black;14.376
73;CA-2018-169411;24/12/2018;29/12/2018;Standard Class;AC-10615;Ann Chong;Corporate;United States;Rochester;New York;14609;East;FUR-FU-10001602;Furniture;Furnishings;"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear";37.93
74;CA-2018-124296;24/12/2018;28/12/2018;Standard Class;CS-12355;Christine Sundaresam;Consumer;United States;Lafayette;Louisiana;70506;South;TEC-MA-10003183;Technology;Machines;DYMO CardScan Personal V9 Business Card Scanner;479.97
75;CA-2018-124296;24/12/2018;28/12/2018;Standard Class;CS-12355;Christine Sundaresam;Consumer;United States;Lafayette;Louisiana;70506;South;FUR-CH-10002439;Furniture;Chairs;Iceberg Nesting Folding Chair, 19w x 6d x 43h;232.88
76;CA-2018-145219;24/12/2018;25/12/2018;First Class;RM-19675;Robert Marley;Home Office;United States;Los Angeles;California;90049;West;TEC-CO-10001449;Technology;Copiers;Hewlett Packard LaserJet 3310 Copier;2879.952
77;CA-2018-145219;24/12/2018;25/12/2018;First Class;RM-19675;Robert Marley;Home Office;United States;Los Angeles;California;90049;West;OFF-BI-10001670;Office Supplies;Binders;Vinyl Sectional Post Binders;90.48
78;CA-2018-128734;24/12/2018;31/12/2018;Standard Class;JL-15175;James Lanier;Home Office;United States;Chandler;Arizona;85224;West;FUR-FU-10001731;Furniture;Furnishings;Acrylic Self-Standing Desk Frames;8.544
79;CA-2018-128734;24/12/2018;31/12/2018;Standard Class;JL-15175;James Lanier;Home Office;United States;Chandler;Arizona;85224;West;FUR-CH-10001394;Furniture;Chairs;Global Leather Executive Chair;842.376
80;CA-2018-121195;24/12/2018;27/12/2018;First Class;NS-18505;Neola Schneider;Consumer;United States;Dallas;Texas;75220;Central;OFF-ST-10000585;Office Supplies;Storage;Economy Rollaway Files;264.32
81;CA-2018-163671;24/12/2018;30/12/2018;Standard Class;DP-13105;Dave Poirier;Corporate;United States;Meridian;Idaho;83642;West;OFF-BI-10001679;Office Supplies;Binders;GBC Instant Index System for Binding Systems;21.312
82;CA-2018-148355;24/12/2018;28/12/2018;Standard Class;NC-18535;Nick Crebassa;Corporate;United States;New Bedford;Massachusetts;2740;East;OFF-PA-10001972;Office Supplies;Paper;Xerox 214;19.44
83;CA-2018-148355;24/12/2018;28/12/2018;Standard Class;NC-18535;Nick Crebassa;Corporate;United States;New Bedford;Massachusetts;2740;East;OFF-BI-10000201;Office Supplies;Binders;Avery Triangle Shaped Sheet Lifters, Black, 2/Pack;12.3
84;US-2018-123463;23/12/2018;23/12/2018;Same Day;GZ-14470;Gary Zandusky;Consumer;United States;San Francisco;California;94109;West;OFF-AR-10001118;Office Supplies;Art;Binney & Smith Crayola Metallic Crayons, 16-Color Pack;13.48
85;CA-2018-127929;23/12/2018;27/12/2018;Standard Class;FM-14215;Filia McAdams;Corporate;United States;Middletown;Connecticut;6457;East;FUR-FU-10003708;Furniture;Furnishings;"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";181.95
86;CA-2018-121216;23/12/2018;25/12/2018;Second Class;MM-17920;Michael Moore;Consumer;United States;College Station;Texas;77840;Central;OFF-PA-10004519;Office Supplies;Paper;Spiral Phone Message Books with Labels by Adams;28.672
87;CA-2018-121216;23/12/2018;25/12/2018;Second Class;MM-17920;Michael Moore;Consumer;United States;College Station;Texas;77840;Central;OFF-AP-10001947;Office Supplies;Appliances;Acco 6 Outlet Guardian Premium Plus Surge Suppressor;29.312
88;CA-2018-140627;23/12/2018;27/12/2018;Standard Class;DK-12985;Darren Koutras;Consumer;United States;Hendersonville;Tennessee;37075;South;FUR-FU-10000087;Furniture;Furnishings;"Executive Impressions 14"" Two-Color Numerals Wall Clock";72.704
89;CA-2018-140627;23/12/2018;27/12/2018;Standard Class;DK-12985;Darren Koutras;Consumer;United States;Hendersonville;Tennessee;37075;South;OFF-AR-10000422;Office Supplies;Art;Pencil and Crayon Sharpener;12.264
90;CA-2018-140627;23/12/2018;27/12/2018;Standard Class;DK-12985;Darren Koutras;Consumer;United States;Hendersonville;Tennessee;37075;South;OFF-ST-10004123;Office Supplies;Storage;Safco Industrial Wire Shelving System;218.352
91;US-2018-162670;23/12/2018;28/12/2018;Second Class;MF-18250;Monica Federle;Corporate;United States;Little Rock;Arkansas;72209;South;OFF-ST-10001328;Office Supplies;Storage;Personal Filing Tote with Lid, Black/Gray;62.04
92;US-2018-162670;23/12/2018;28/12/2018;Second Class;MF-18250;Monica Federle;Corporate;United States;Little Rock;Arkansas;72209;South;TEC-PH-10003601;Technology;Phones;Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver;494.97
93;US-2018-162670;23/12/2018;28/12/2018;Second Class;MF-18250;Monica Federle;Corporate;United States;Little Rock;Arkansas;72209;South;OFF-ST-10001522;Office Supplies;Storage;Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h;367.96
94;US-2018-162670;23/12/2018;28/12/2018;Second Class;MF-18250;Monica Federle;Corporate;United States;Little Rock;Arkansas;72209;South;OFF-PA-10001994;Office Supplies;Paper;"Ink Jet Note and Greeting Cards, 8-1/2"" x 5-1/2"" Card Size";44.96
95;US-2018-162670;23/12/2018;28/12/2018;Second Class;MF-18250;Monica Federle;Corporate;United States;Little Rock;Arkansas;72209;South;OFF-EN-10001453;Office Supplies;Envelopes;"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box";182.94
96;CA-2018-117443;23/12/2018;25/12/2018;Second Class;JB-15400;Jennifer Braxton;Corporate;United States;Rockford;Illinois;61107;Central;OFF-BI-10004002;Office Supplies;Binders;Wilson Jones International Size A4 Ring Binders;13.84
97;CA-2018-117443;23/12/2018;25/12/2018;Second Class;JB-15400;Jennifer Braxton;Corporate;United States;Rockford;Illinois;61107;Central;OFF-PA-10004475;Office Supplies;Paper;Xerox 1940;175.872
98;CA-2018-110625;23/12/2018;30/12/2018;Standard Class;JB-16045;Julia Barnett;Home Office;United States;Danbury;Connecticut;6810;East;FUR-FU-10001473;Furniture;Furnishings;DAX Wood Document Frame;27.46
99;CA-2018-155376;22/12/2018;27/12/2018;Standard Class;SG-20080;Sandra Glassco;Consumer;United States;Independence;Missouri;64055;Central;OFF-AP-10001058;Office Supplies;Appliances;Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators;839.43
100;CA-2018-145310;22/12/2018;24/12/2018;Second Class;JP-15520;Jeremy Pistek;Consumer;United States;Port Orange;Florida;32127;South;OFF-EN-10002621;Office Supplies;Envelopes;Staple envelope;7.824
101;CA-2018-120376;22/12/2018;25/12/2018;First Class;TP-21130;Theone Pippenger;Consumer;United States;Detroit;Michigan;48227;Central;TEC-AC-10001114;Technology;Accessories;Microsoft Wireless Mobile Mouse 4000;199.95
102;CA-2018-120376;22/12/2018;25/12/2018;First Class;TP-21130;Theone Pippenger;Consumer;United States;Detroit;Michigan;48227;Central;FUR-CH-10002335;Furniture;Chairs;Hon GuestStacker Chair;1586.69
103;CA-2018-120376;22/12/2018;25/12/2018;First Class;TP-21130;Theone Pippenger;Consumer;United States;Detroit;Michigan;48227;Central;TEC-AC-10000844;Technology;Accessories;Logitech Gaming G510s - Keyboard;84.99
104;CA-2018-120376;22/12/2018;25/12/2018;First Class;TP-21130;Theone Pippenger;Consumer;United States;Detroit;Michigan;48227;Central;FUR-TA-10004534;Furniture;Tables;Bevis 44 x 96 Conference Tables;411.8
105;CA-2018-115931;22/12/2018;26/12/2018;Standard Class;JM-15655;Jim Mitchum;Corporate;United States;Carlsbad;New Mexico;88220;West;OFF-AR-10000369;Office Supplies;Art;Design Ebony Sketching Pencil;4.17
106;CA-2018-115931;22/12/2018;26/12/2018;Standard Class;JM-15655;Jim Mitchum;Corporate;United States;Carlsbad;New Mexico;88220;West;TEC-PH-10001300;Technology;Phones;iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4;67.04
107;CA-2018-115931;22/12/2018;26/12/2018;Standard Class;JM-15655;Jim Mitchum;Corporate;United States;Carlsbad;New Mexico;88220;West;OFF-ST-10000876;Office Supplies;Storage;Eldon Simplefile Box Office;37.32
108;CA-2018-115931;22/12/2018;26/12/2018;Standard Class;JM-15655;Jim Mitchum;Corporate;United States;Carlsbad;New Mexico;88220;West;OFF-LA-10001404;Office Supplies;Labels;Avery 517;18.45
109;CA-2018-119193;22/12/2018;24/12/2018;First Class;SK-19990;Sally Knutson;Consumer;United States;Toledo;Ohio;43615;East;OFF-BI-10000848;Office Supplies;Binders;Angle-D Ring Binders;1.641
110;CA-2018-119193;22/12/2018;24/12/2018;First Class;SK-19990;Sally Knutson;Consumer;United States;Toledo;Ohio;43615;East;TEC-PH-10003072;Technology;Phones;Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System;629.958
111;CA-2018-119578;22/12/2018;27/12/2018;Second Class;JG-15310;Jason Gross;Corporate;United States;Providence;Rhode Island;2908;East;OFF-SU-10003505;Office Supplies;Supplies;Premier Electric Letter Opener;695.16
112;CA-2018-119578;22/12/2018;27/12/2018;Second Class;JG-15310;Jason Gross;Corporate;United States;Providence;Rhode Island;2908;East;FUR-BO-10003660;Furniture;Bookcases;Bush Cubix Collection Bookcases, Fully Assembled;220.98
113;CA-2018-104927;22/12/2018;26/12/2018;Standard Class;AG-10330;Alex Grayson;Consumer;United States;Houston;Texas;77095;Central;OFF-PA-10000019;Office Supplies;Paper;Xerox 1931;25.92
114;CA-2018-104927;22/12/2018;26/12/2018;Standard Class;AG-10330;Alex Grayson;Consumer;United States;Houston;Texas;77095;Central;OFF-BI-10003429;Office Supplies;Binders;Cardinal HOLDit! Binder Insert Strips,Extra Strips;6.33
115;CA-2018-104927;22/12/2018;26/12/2018;Standard Class;AG-10330;Alex Grayson;Consumer;United States;Houston;Texas;77095;Central;OFF-PA-10000176;Office Supplies;Paper;Xerox 1887;75.88
116;CA-2018-100412;22/12/2018;26/12/2018;Standard Class;SR-20425;Sharelle Roach;Home Office;United States;Tuscaloosa;Alabama;35401;South;FUR-CH-10002647;Furniture;Chairs;Situations Contoured Folding Chairs, 4/Set;141.96
117;CA-2018-142909;22/12/2018;25/12/2018;Second Class;AG-10330;Alex Grayson;Consumer;United States;Mesa;Arizona;85204;West;FUR-TA-10003008;Furniture;Tables;Lesro Round Back Collection Coffee Table, End Table;182.55
118;CA-2018-149699;22/12/2018;24/12/2018;First Class;CM-12115;Chad McGuire;Consumer;United States;Los Angeles;California;90008;West;TEC-AC-10000474;Technology;Accessories;Kensington Expert Mouse Optical USB Trackball for PC or Mac;474.95
119;CA-2018-146164;22/12/2018;26/12/2018;Standard Class;CM-12190;Charlotte Melton;Consumer;United States;Rochester;Minnesota;55901;Central;FUR-TA-10004915;Furniture;Tables;"Office Impressions End Table, 20-1/2""H x 24""W x 20""D";607.52
120;CA-2018-146164;22/12/2018;26/12/2018;Standard Class;CM-12190;Charlotte Melton;Consumer;United States;Rochester;Minnesota;55901;Central;OFF-ST-10001228;Office Supplies;Storage;Personal File Boxes with Fold-Down Carry Handle;31.16
